algorithm,graph_size,edges,agents,time_seconds
FullInfoX,1500,5000,1,0.133
FullInfoX_Multi,1500,5000,1,0.123
FullInfoX_Multi,1500,5000,2,0.092
FullInfoX_Multi,1500,5000,4,0.137
FullInfoX_Multi,1500,5000,8,0.098
FullInfoX,1500,5000,1,0.094
FullInfoX_Multi,1500,5000,1,0.096
FullInfoX_Multi,1500,5000,2,0.059
FullInfoX_Multi,1500,5000,4,0.063
FullInfoX_Multi,1500,5000,8,0.065
FullInfoX,1500,5000,1,0.216
FullInfoX_Multi,1500,5000,1,0.141
FullInfoX_Multi,1500,5000,2,0.103
FullInfoX_Multi,1500,5000,4,0.147
FullInfoX_Multi,1500,5000,8,0.101
FullInfoX,1500,5000,1,0.137
FullInfoX_Multi,1500,5000,1,0.13
FullInfoX_Multi,1500,5000,2,0.107
FullInfoX_Multi,1500,5000,4,0.146
FullInfoX_Multi,1500,5000,8,0.101
FullInfoX,1500,5000,1,0.1
FullInfoX_Multi,1500,5000,1,0.085
FullInfoX_Multi,1500,5000,2,0.056
FullInfoX_Multi,1500,5000,4,0.1
FullInfoX_Multi,1500,5000,8,0.07
FullInfoX,1500,5000,1,0.132
FullInfoX_Multi,1500,5000,1,0.128
FullInfoX_Multi,1500,5000,2,0.1
FullInfoX_Multi,1500,5000,4,0.169
FullInfoX_Multi,1500,5000,8,0.136
FullInfoX,1500,5000,1,0.159
FullInfoX_Multi,1500,5000,1,0.134
FullInfoX_Multi,1500,5000,2,0.102
FullInfoX_Multi,1500,5000,4,0.145
FullInfoX_Multi,1500,5000,8,0.1
FullInfoX,1500,5000,1,0.113
FullInfoX_Multi,1500,5000,1,0.098
FullInfoX_Multi,1500,5000,2,0.06
FullInfoX_Multi,1500,5000,4,0.124
FullInfoX_Multi,1500,5000,8,0.056
FullInfoX,1500,5000,1,0.154
FullInfoX_Multi,1500,5000,1,0.139
FullInfoX_Multi,1500,5000,2,0.147
FullInfoX_Multi,1500,5000,4,0.167
FullInfoX_Multi,1500,5000,8,0.101
FullInfoX,1500,5000,1,0.109
FullInfoX_Multi,1500,5000,1,0.099
FullInfoX_Multi,1500,5000,2,0.066
FullInfoX_Multi,1500,5000,4,0.111
FullInfoX_Multi,1500,5000,8,0.066
FullInfoX,1500,5000,1,0.141
FullInfoX_Multi,1500,5000,1,0.123
FullInfoX_Multi,1500,5000,2,0.094
FullInfoX_Multi,1500,5000,4,0.136
FullInfoX_Multi,1500,5000,8,0.094
FullInfoX,1500,5000,1,0.093
FullInfoX_Multi,1500,5000,1,0.123
FullInfoX_Multi,1500,5000,2,0.059
FullInfoX_Multi,1500,5000,4,0.055
FullInfoX_Multi,1500,5000,8,0.067
